2000-07-13,6.2500,6.2500,6.2500,6.2500,6.2500,0
2000-07-14,6.2500,6.2500,6.2500,6.2500,6.2500,0
2000-07-17,6.2500,6.2500,6.2500,6.2500,6.2500,0
2000-07-18,6.2500,6.2500,6.2500,6.2500,6.2500,0
2000-07-19,6.1300,6.1300,6.1300,6.1300,6.1300,0
2000-07-20,6.1300,6.1300,6.1300,6.1300,6.1300,0
2000-07-21,6.1300,6.1300,6.1300,6.1300,6.1300,0
2000-07-24,5.9400,5.9400,5.9400,5.9400,5.9400,0
2000-07-25,5.5000,5.5000,5.5000,5.5000,5.5000,0
2000-07-26,5.5000,5.5000,5.5000,5.5000,5.5000,0
2000-07-27,5.5000,5.5000,5.5000,5.5000,5.5000,0
2000-07-28,5.5000,5.5000,5.5000,5.5000,5.5000,0
2000-07-31,5.5000,5.5000,5.5000,5.5000,5.5000,0
2000-08-01,5.5000,5.5000,5.5000,5.5000,5.5000,0
2000-08-02,5.4400,5.4400,5.4400,5.4400,5.4400,0
2000-08-03,5.0000,5.0000,5.0000,5.0000,5.0000,0
2000-08-04,5.8800,5.8800,5.8800,5.8800,5.8800,0
2000-08-07,5.4400,5.4400,5.4400,5.4400,5.4400,0
2000-08-08,5.2500,5.2500,5.2500,5.2500,5.2500,0
2000-08-09,5.2500,5.2500,5.2500,5.2500,5.2500,0
2000-08-10,5.6300,5.6300,5.6300,5.6300,5.6300,0
2000-08-11,5.6300,5.698499999999999,0.25299999999999995,6.469999565098624,4.927000434901374,0.38574978254931275
2000-08-14,5.5000,5.667499999999999,0.16499999999999995,6.394219376810318,4.94078062318968,0.3633596884051596
2000-08-15,5.4400,5.629999999999999,-0.05899999999999998,6.3057763566524985,4.9542236433474995,0.33788817832624973
2000-08-16,5.6300,5.589499999999999,-0.0759999999999997,6.203047922033461,4.975952077966538,0.30677396101673093
2000-08-17,6.2500,5.5645,0.10299999999999994,6.123652554270628,5.005347445729371,0.27957627713531435
2000-08-18,6.3800,5.5705,0.4669999999999998,6.157103963953804,4.983896036046196,0.29330198197690194
2000-08-21,6.0000,5.583,0.45,6.227592078269987,4.938407921730013,0.32229603913499344
2000-08-22,6.2200,5.586,-0.075,6.2381026719289245,4.933897328071076,0.32605133596446195
2000-08-23,6.2200,5.622,-0.0020000000000001406,6.33111657418895,4.912883425811049,0.35455828709447523
2000-08-24,6.2200,5.6579999999999995,0.16899999999999987,6.412679437000623,4.903320562999376,0.37733971850031195
2000-08-25,6.7500,5.694,-0.0030000000000000248,6.4847731060570775,4.903226893942922,0.39538655302853865
2000-08-28,6.7500,5.756499999999999,0.30200000000000016,6.670675498526,4.842324501473998,0.4570877492630005
2000-08-29,6.7500,5.818999999999999,0.34000000000000014,6.825586728556095,4.812413271443903,0.5032933642780477
2000-08-30,6.8800,5.881499999999999,0.053000000000000026,6.957521424165503,4.805478575834496,0.5380107120827515
2000-08-31,6.8800,5.953499999999999,0.13099999999999995,7.095801923403145,4.811198076596853,0.5711509617015729
2000-09-01,6.8800,6.0474999999999985,0.13099999999999995,7.168643682983913,4.926356317016084,0.5605718414919574
2000-09-05,6.3100,6.097499999999998,0.012999999999999989,7.274970527064376,4.920029472935621,0.5887352635321887
2000-09-06,6.3100,6.140999999999999,-0.3290000000000002,7.2798433652290875,5.002156634770911,0.5694216826145444
2000-09-07,5.6300,6.193999999999999,-0.3290000000000002,7.254196605401687,5.133803394598311,0.5300983027008441
2000-09-08,5.6300,6.212999999999999,-0.46499999999999986,7.213927990469475,5.212072009530523,0.5004639952347378
2000-09-11,5.6300,6.212999999999999,-0.46499999999999986,7.213927990469475,5.212072009530523,0.5004639952347378
2000-09-12,5.6300,6.212999999999999,-0.125,7.213927990469475,5.212072009530523,0.5004639952347378
2000-09-13,4.9400,6.219499999999999,-0.06799999999999998,7.202459548345815,5.236540451654183,0.49147977417290795
2000-09-14,4.7500,6.1945,-0.48199999999999965,7.280922908835277,5.108077091164723,0.5432114544176385
2000-09-15,5.0600,6.1505,-0.5279999999999999,7.3932215464878945,4.907778453512106,0.6213607732439472
2000-09-18,4.9400,6.090999999999999,0.0029999999999995794,7.424312455976901,4.7576875440230975,0.666656227988451
2000-09-19,4.9400,6.019,0.026000000000000245,7.43928759133679,4.59871240866321,0.7101437956683953
2000-09-20,4.8800,5.965999999999999,-0.12899999999999956,7.4661389409335595,4.465861059066439,0.7500694704667799
2000-09-21,4.8800,5.898999999999999,-0.036000000000000296,7.469422671901119,4.328577328098879,0.7852113359505599
2000-09-22,5.0000,5.832,-0.017000000000000258,7.458110632605814,4.205889367394185,0.8130553163029075
2000-09-25,5.0000,5.771,0.05400000000000009,7.427081615075016,4.114918384924984,0.828040807537508
2000-09-26,5.2500,5.6835,0.06600000000000002,7.306379507152901,4.0606204928471,0.8114397535764503
2000-09-27,5.3800,5.608499999999999,0.15599999999999997,7.160968662282244,4.056031337717755,0.776234331141122
2000-09-28,5.3800,5.539999999999999,0.23999999999999994,6.9984490680892915,4.081550931910707,0.7292245340446463
2000-09-29,5.5000,5.464999999999998,0.11499999999999995,6.7805827205983045,4.149417279401692,0.6577913602991532
2000-10-02,4.7800,5.395999999999999,0.11000000000000006,6.531538824106261,4.260461175893737,0.5677694120531308
2000-10-03,5.0600,5.2909999999999995,-0.3219999999999998,6.217973570281266,4.364026429718733,0.4634867851406336
2000-10-04,5.0600,5.228499999999999,-0.23900000000000024,6.025660090901641,4.431339909098356,0.3985800454508214
2000-10-05,4.2800,5.165999999999999,0.10799999999999965,5.781429674463723,4.550570325536274,0.3077148372318624
